Acct ,SKU,ASIN,Title,Inventory,Sellers,Rank,Buy Box Price,Lowest Price,My Price,My LowestPrice,My HighestPrice,Match Buybox,Repricer,Laptop Profit Rate,Desktop Profit Rate,EB Cost,10 Days sales
acct 4,00-UHO3-IOOR,B01ETV92MM,"Acer Aspire One 14&quot; AO1-431-C8G8 Laptop, Intel Celeron N3050 1.60 GHz Dual-Core Processor, 2GB RAM,32 GB Flash Memory,Windows 10 Home Operating System (Certified Refurbished)", 1 ,12 sellers,"4,727",$155.99,$155.99, $167.57,159.00,229.00,False,Default PC Repricer,0,0,0,0
acct 4,0P-H7D6-T19H,B010F029Y4,Hasbro Pie Face Game, 2 ,40 sellers,100,$11.99,$11.99, $18.00,18.00,29.00,False,vic toys,0,0,0,2
acct 4,0S-9OW3-2VW3,B01KX211JI,Star Wars Force Band by Sphero, 2 ,30 sellers,"1,145",$51.98,$43.76, $68.22,64.00,190.00,False,Default PC Repricer,-0.05091175608326023,-0.19749633538551764,57.6,0
acct 4,0S-SGEM-VLSP,B01GKJ49QA,Newest High Performance Toshiba Satellite Fusion L55 Flagship 15.6&quot; Full HD I..., 2 ,5 sellers,"12,463",$760.00,$749.34, $760.00,710.00,799.00,True,fba match fba above fbm 3%,0,0,0,0
acct 4,0W-8WEW-ESO9,B00CRGJEOS,"Dell Inspiron i17RV-818BLK 17.3-Inch Ultrabook (1.9 GHz Intel Core i3-3227U, ...", 3 Refurbished,0 sellers,"27,350",$0.00,$0.00, $339.00,329.00,339.00,False,Default PC Repricer,0,0,0,0
acct 4,113837026.fba,B01MSA1T0Z,"2017 Dell Inspiron 11.6&quot; HD 2-in-1 Convertible Touchscreen Laptop (Tablet), Intel Quad-Core Pentium N3710 up to 2.56GHz, 4GB RAM, 500GB HDD, MaxxAudio, WLAN, Bluetooth, HDMI, Windows 10 (Gray)", 11 ,7 sellers,"19,993",$339.00,$339.00, $339.00,329.00,399.00,True,Default PC Repricer,0.07716814159292026,0.047669616519173945,282.5,2
acct 4,12294-B06XHXXSHZ-04-052617,B06WWKYM1X,"HP Stream 14&quot; Premium Flagship Laptop, Intel Celeron Core up to 2.48GHz, 4GB RAM, 32GB Solid State Drive, WiFi, Bluetooth, Webcam, USB 3.0, Windows 10 Home, Purple (Certified Refurbished)", 2 ,3 sellers,885,$189.00,$189.00, $189.00,179.00,239.00,True,Default PC Repricer,0.4915873015873016,0.43867724867724867,74.75,4
acct 4,15839-B01M2U8SOQ-04-041117,B06Y6KS122,"HP Spectre X2 12-a009nr (Intel Core M5, 4GB RAM, 128GB SSD, Touch Screen) with Windows 10", 34 ,15 sellers,"22,879",$499.83,$499.83, $499.83,440.00,599.00,True,Default PC Repricer,0.07970750055018704,0.05970069823740068,420.0,1
acct 4,16085-B01N80CMSA-04-041417,B01N80CMSA,"2017 Newest HP Flagship High Performance 17.3 inch HD+ Notebook Laptop PC, Intel Core i7-7500U Dual-Core, 2.70 GHz, 8GB DDR4, 1TB HDD, DVDRW, Windows 10, Black", 1 ,16 sellers,"7,468",$544.00,$541.00, $541.00,539.00,675.00,True,Default PC Repricer,0.05275415896487978,0.03426987060998145,470.0,0
acct 4,16189-B01JSH3HSM -04-052717,B01JSH3HSM,"DELL Inspiron i3650 Â 0635slv Desktop (6th Generation Intel Core i5, 8 GB de RAM, 1 TB HDD, wifi, bluetooth, windows 10 home)",>FBA</b></span><span><span title=, title=,"5,859","Buy Box price at: Jul 16, 01:37""",$469.99, $526.00,489.00,549.00,0,Default PC Repricer,0.16053231939163498,0.14152091254752852,400.0,0
acct 4,17029-B01N2WDXK7-04-052719,B01N2WDXK7,"Lenovo ThinkPad X1 CARBON Ultrabook - 14&quot; WQHD (2560x1440) TOUCHSCREEN, Intel Core i7-5600U, 256GB SSD, 16GB, Wireless a/c, Backlit Keyboard, FP Reader, Warranty till 2019, Win 8.1 Pro", 8 ,6 sellers,"3,149","$1,319.00","$1,301.00"," $1,319.00",1309.00,1369.00,True,Default PC Repricer,0.17275208491281266,0.1651705837755875,1002.0,5
